symbol,company_name,2026-09-05,2026-09-07,2026-09-08,2026-09-09,2026-09-10,2026-09-11,2026-09-14,2026-09-15,2026-09-16,2026-09-17,2026-09-18,2026-09-21,2026-09-22,close:2026-09-05,close:2026-09-07,close:2026-09-08,close:2026-09-09,close:2026-09-10,close:2026-09-11,close:2026-09-14,close:2026-09-15,close:2026-09-16,close:2026-09-17,close:2026-09-18,close:2026-09-21,close:2026-09-22
ABR,Arbor Realty Trust,,,,,,,,,,,,,0.16,,,,,,,,,,,,,4.39
ADAM,"Adamas Trust, Inc.",,,,,,,,,,0.1991,0.2617,0.19,0.2745,,,,,,,,,,9.005,8.91,8.92,8.8
AGO,Assured Guaranty Ltd.,0.81,0.81,2.77,1.05,1.105,0.855,1.47,2.33,1.16,1.475,1.18,1.115,1.08,75.69,75.69,73.0,72.21,73.07,72.93,72.92,71.36,71.29,71.08,70.35,71.07,70.74
AIG,"American International Group, Inc. New",0.77,0.77,1.54,1.14,1.3,1.3779,1.265,1.1,1.4375,1.5,1.205,1.225,1.735,76.21,76.21,74.68,75.03,75.03,75.33,76.29,75.98,76.07,75.68,75.33,74.54,75.18
AIOT,"PowerFleet, Inc.",0.07,0.07,0.095,0.06,0.0506,0.08,0.11,0.095,0.075,0.11,0.105,0.1151,0.14,3.02,3.02,2.96,2.97,2.95,3.0,3.05,3.01,3.03,2.97,2.88,2.85,2.98
ALGN,"Align Technology, Inc.",5.26,5.26,5.5,2.56,4.35,4.38,3.185,6.135,5.46,3.09,4.57,2.82,7.22,158.64,158.64,153.49,152.92,150.72,150.82,153.0,147.0,150.45,149.71,147.61,146.88,153.29
ALLY,Ally Financial Inc.,0.845,0.845,1.47,0.72,0.81,1.34,0.68,2.1,1.635,0.66,0.75,0.53,1.4015,43.73,43.73,42.28,41.83,42.17,42.07,41.94,41.58,40.31,40.6,40.0,39.89,39.07
AMSF,"AMERISAFE, Inc.",0.48,0.48,1.17,0.49,0.82,0.68,0.665,0.44,0.4,0.48,0.67,0.605,0.55,25.99,25.99,24.9,24.8,24.66,24.77,25.1,24.8,24.71,24.67,24.62,24.56,24.56
ANIP,"ANI Pharmaceuticals, Inc.",0.94,0.94,1.68,0.925,1.41,2.34,1.69,2.245,1.75,2.1,3.195,4.43,2.739,71.23,71.23,70.23,70.7,71.46,70.19,70.4,72.11,73.59,75.39,76.14,78.85,77.91
APEI,"American Public Education, Inc.",0.71,0.71,1.015,1.12,1.125,0.75,1.57,1.07,1.61,1.69,1.15,1.74,3.85,45.36,45.36,45.36,45.03,44.86,44.94,44.43,44.76,44.435,44.32,43.88,43.43,40.58
APLE,"Apple Hospitality REIT, Inc. Common Shares",,,,,0.2,0.31,0.25,0.205,0.54,0.29,0.195,0.205,0.29,,,,,15.56,15.55,15.48,15.44,15.43,15.59,15.58,15.68,15.78
APOG,"Apogee Enterprises, Inc.",1.86,1.86,1.4,0.8581,0.895,0.87,0.89,0.92,0.61,0.825,1.08,0.495,0.94,39.97,39.97,38.74,38.16,37.53,37.88,37.17,37.43,37.69,37.7,36.8,36.97,37.58
APTV,Aptiv PLC Ordinary Shares,2.18,2.18,2.38,1.4914,1.88,1.28,1.37,1.24,1.1996,0.825,0.84,1.04,1.41,47.95,47.95,45.73,44.51,45.69,45.54,44.79,43.75,43.34,43.62,43.59,43.57,44.61
AQN,Algonquin Power & Utilities Corp. Common Shares,,,,,,,,,,0.08,0.0729,0.13,0.08,,,,,,,,,,5.38,5.35,5.24,5.21
ARKO,ARKO Corp.,0.205,0.205,0.23,0.33,0.165,0.12,0.15,0.2,0.175,0.105,0.135,0.0866,0.12,4.89,4.89,4.705,4.44,4.47,4.52,4.57,4.42,4.35,4.34,4.22,4.24,4.35
ASO,"Academy Sports and Outdoors, Inc.",1.4,1.4,1.005,6.53,4.41,2.635,2.2,3.84,2.18,1.49,1.95,1.41,2.21,44.94,44.94,44.71,51.15,54.215,55.36,54.25,50.44,50.42,49.68,48.29,48.49,49.5
ATO,Atmos Energy Corporation,2.3,2.3,1.86,2.41,3.39,2.83,1.885,2.25,2.4,1.5,2.05,2.14,1.615,167.56,167.56,168.07,166.59,164.81,163.19,163.84,162.04,161.96,162.03,160.3,158.27,157.34
AZZ,AZZ Inc.,3.04,3.04,3.811,2.1885,3.375,1.985,5.295,2.82,4.34,3.28,3.4056,5.44,3.72,140.02,140.02,139.47,138.29,136.52,137.07,132.75,133.09,132.66,133.66,132.72,133.63,136.84
BABA,Alibaba Group Holding Limited American Depositary Shares each representing eight Ordinary share,,,1.8417,3.27,1.68,2.13,2.59,1.93,2.7,1.87,5.23,2.96,4.65,,,112.66,109.4,108.56,109.3,109.23,109.34,107.27,108.54,113.24,115.75,116.31
BAC,Bank of America Corporation,,,,,,,,,,,0.71,0.815,2.045,,,,,,,,,,,57.73,57.96,56.2
BANC,"Banc of California, Inc.",0.23,0.23,0.405,0.315,0.22,0.35,0.425,0.515,0.82,0.41,0.275,0.225,0.43,18.92,18.92,18.62,18.4,18.4,18.55,18.46,18.6,18.28,18.5,18.32,18.29,18.1
BANF,BancFirst Corporation,3.19,3.19,1.73,1.78,1.295,1.94,1.6198,1.8523,3.1599,2.48,1.85,1.685,2.47,112.89,112.89,111.29,110.8,110.84,110.9,111.56,110.94,109.63,108.97,108.29,109.46,108.24
BC,Brunswick Corporation,3.31,3.31,3.0155,1.515,1.9475,2.055,1.27,2.39,3.075,1.57,1.455,2.13,3.03,74.43,74.43,71.95,70.93,69.88,70.72,70.14,68.8,67.72,67.83,67.55,66.0,66.59
BFAM,Bright Horizons Family Solutions Inc.,,,,,3.185,2.22,2.91,2.36,2.6895,1.73,1.61,2.9,2.74,,,,,64.27,65.12,66.87,67.41,68.68,67.09,65.67,63.28,64.96
BHE,"Benchmark Electronics, Inc.",1.53,1.53,2.05,1.4049,1.855,3.925,5.625,1.295,2.36,1.9064,1.82,2.21,5.7,72.64,72.64,73.92,74.39,73.98,77.8,72.25,72.63,73.85,74.55,75.4,77.16,82.23
BHF,"Brighthouse Financial, Inc.",1.172,1.172,1.7954,1.16,2.44,1.47,0.885,1.895,1.42,0.77,1.5471,0.565,6.21,53.58,53.58,52.24,51.15,50.84,50.11,50.0,49.0,48.79,49.4,49.95,49.84,51.9
BLBD,Blue Bird Corporation,1.47,1.47,1.25,2.4449,1.3899,1.93,2.495,1.82,1.265,3.155,1.3,2.45,1.5699,63.63,63.63,63.95,62.59,62.05,61.84,62.41,61.8,61.66,60.79,60.43,58.64,59.17
BOKF,BOK Financial Corporation,2.01,2.01,1.715,1.895,2.44,2.605,1.6323,1.845,4.75,2.3645,1.5,2.33,3.08,136.7,136.7,135.72,134.51,135.21,135.69,136.36,135.77,132.82,133.02,132.75,133.135,131.05
BOOT,"Boot Barn Holdings, Inc.",,,,,,,,,,4.19,2.03,4.11,7.47,,,,,,,,,,122.83,122.92,124.33,129.28
BPOP,"Popular, Inc.",1.67,1.67,3.84,3.25,2.65,3.6759,2.59,3.175,6.84,2.68,2.53,1.33,3.62,171.32,171.32,167.58,164.85,163.96,163.71,165.68,164.9,160.96,160.97,162.03,162.58,160.19
BV,"BrightView Holdings, Inc.",0.3,0.3,0.228,0.335,0.43,0.265,0.265,0.35,0.28,0.31,0.21,0.17,0.19,11.36,11.36,11.18,11.31,11.0,11.19,11.25,10.9,10.86,10.86,10.65,10.64,10.67
BXMT,"Blackstone Mortgage Trust, Inc.",0.26,0.26,0.34,0.2724,0.46,0.26,0.345,0.315,0.415,0.32,0.3095,0.245,0.265,14.2,14.2,13.87,13.87,13.48,13.35,13.17,13.3,13.29,13.5,13.27,13.27,13.14
BYD,Boyd Gaming Corporation,1.2,1.2,1.5,1.785,1.56,1.58,0.87,1.425,1.45,1.745,1.29,1.71,2.5,78.02,78.02,76.52,75.41,76.45,77.0,77.15,76.08,75.6,74.25,72.97,72.58,72.08
CBRL,"Cracker Barrel Old Country Store, Inc.",,,,,,,,,,1.24,1.45,2.125,1.8825,,,,,,,,,,43.76,45.06,44.87,45.48
CBT,Cabot Corporation,,,,,,1.4986,2.79,2.395,2.415,2.035,1.53,1.495,3.37,,,,,,79.68,80.76,79.2,78.46,77.56,77.44,76.59,79.47
CCS,"Century Communities, Inc.",,,,,1.77,1.525,1.455,1.765,1.93,1.84,1.1899,1.705,2.57,,,,,59.56,60.54,60.85,61.31,60.85,60.79,60.53,61.66,63.87
CDRE,"Cadre Holdings, Inc.",,,,,,,,,,,0.68,1.12,0.98,,,,,,,,,,,26.29,26.63,26.88
